"sid","uid","bid","summary","created_at","updated_at","deleted","deleted_time","current_goal","current_step","goal_completed"
"S7ab3fc9-ff14-49b6-a0ac-c7febe3d556d","A-69f4aef7-9807-4bf8-a921-86dbd9be0260","C-CHJB-I1D4H0WMOS","본노엘 건강한 빵 레시피 질문","2026-02-01 13:05:31.386898","2026-02-01 13:05:36.306587",False,NULL,NULL,NULL,False
"S6d328f4-f483-4575-aac4-f601db5ccad5","A-69f4aef7-9807-4bf8-a921-86dbd9be0260","C-CHJB-3SZQY3XFPR","본노엘의 의미와 특징 설명","2026-02-01 13:05:44.148203","2026-02-01 13:05:51.611571",False,NULL,NULL,NULL,False
"Scca75ab-4979-470f-a6b8-a4d776312c39","A-69f4aef7-9807-4bf8-a921-86dbd9be0260","C-CHJB-J1Q65PCW2W","도넛의 여왕 본노엘 사장님 여부 질문","2026-02-01 13:08:01.204239","2026-02-01 13:08:09.922229",False,NULL,NULL,NULL,False
"Seff2c47-cba7-450d-b089-8474ee98bd9f","A-2d5cb865-34ed-4883-87b2-76776cbe91b0","C-CHJB-8XT1WWIU0M",NULL,"2026-02-01 13:08:02.640875","2026-02-01 13:08:02.640879",False,NULL,NULL,NULL,False
"S2b08c7a-4864-41a3-b3bd-e332b2db0a10","A-69f4aef7-9807-4bf8-a921-86dbd9be0260","C-CHJB-U7MCDOBVVK","이바컵 2호 본노엘 사장님 여부 확인","2026-02-01 13:08:38.99732","2026-02-01 13:08:46.841559",False,NULL,NULL,NULL,False
"S8312268-cd2b-44c0-a459-92dc04b1e378","A-69f4aef7-9807-4bf8-a921-86dbd9be0260","C-CHJB-AWZWR5SDSJ","사장님 여부 확인 질문","2026-02-01 13:08:54.275152","2026-02-01 13:08:58.748103",False,NULL,NULL,NULL,False
"Se5728ea-af0c-455d-9e9f-6d8781c57e92","A-69f4aef7-9807-4bf8-a921-86dbd9be0260","C-CHJB-20M2X0CNFK","본노엘 사장님에 대한 질문","2026-02-01 13:09:06.876159","2026-02-01 13:09:15.754982",False,NULL,NULL,NULL,False
"Sf9c7241-b8d0-48f0-9900-df576f4d4dcf","A-bf1fe6b9-e9d2-4043-b036-6bac500e9683","C-CHJB-I5P9AL8243","가게 이름 문의","2026-02-01 13:14:41.69358","2026-02-01 13:14:58.285869",False,NULL,NULL,NULL,False
"Sff96025-4c2e-4bdf-bd51-92a94179b335","A-0c681ffd-1f8c-4c24-bada-c4151cf7b94c","C-CHJB-C7EXVK2RFJ",NULL,"2026-02-01 13:27:16.101139","2026-02-01 13:27:16.101142",False,NULL,NULL,NULL,False
"S5a3deb2-7cf4-497c-abfa-253255e06d87","A-0408438e-403f-4841-8553-f17e9864f816","C-CHJB-ATP64DLQVZ",NULL,"2026-02-01 13:30:39.316496","2026-02-01 13:30:39.316499",False,NULL,NULL,NULL,False
"S7f22880-60dc-4601-9064-b6d105dfeee2","A-e489bee3-1c40-49e5-8ea1-16a157c3389f","C-CHJB-7WSC2IM6XX","세종맘 핫플 상호명 문의","2026-02-01 13:35:21.001585","2026-02-01 13:35:55.683656",False,NULL,NULL,NULL,False
"S355bafa-193a-4fcf-8aa6-5602673465be","A-41c83d6f-0e06-4448-9ac9-66c827093c96","C-CHJB-IUGNJKJQLP",NULL,"2026-02-01 13:37:50.840155","2026-02-01 13:37:50.840159",False,NULL,NULL,NULL,False
"S9e384a3-33e7-4092-8215-b49985edf140","A-d8439eb0-b700-45c3-a2d9-ace4851119d1","C-CHJB-26H9PNIJ2I",NULL,"2026-02-01 13:42:25.227218","2026-02-01 13:42:25.227222",False,NULL,NULL,NULL,False
"S76a329e-a725-4e08-8b1d-ac86da4f1e5b","A-7bb1c158-8de2-49e3-8f2a-3ec78a203b9b","C-CHJB-CM2WMYQ1EZ",NULL,"2026-02-01 14:09:09.836764","2026-02-01 14:09:09.836769",False,NULL,NULL,NULL,False
"S7be31f9-1bb4-4c78-9d47-bef2493c280f","A-8a3d065c-5567-4598-9536-2157a0661950","C-CHJB-R0U5HEGVEI",NULL,"2026-02-01 14:22:11.170278","2026-02-01 14:22:11.170281",False,NULL,NULL,NULL,False
"S7721bfc-30db-4593-94aa-6460f451bf86","A-8a3d065c-5567-4598-9536-2157a0661950","C-CHJB-26H9PNIJ2I",NULL,"2026-02-01 14:22:21.272439","2026-02-01 14:22:21.272444",False,NULL,NULL,NULL,False
"S1d899a2-a185-4fc3-b21b-1e14e711ade5","A-778b7c43-b76d-489a-b548-865811d7a455","C-CHJB-IBJPUPR9UW",NULL,"2026-02-01 14:30:23.247276","2026-02-01 14:30:23.247281",False,NULL,NULL,NULL,False
"S2c7937c-536d-4ab6-9b02-a53399902951","A-6ca02516-0850-4bc9-9e92-eb855dac5a1f","C-CHJB-V5C1LRVCEF","성수동 수제빵 본노엘 여부 확인","2026-02-01 14:32:14.552974","2026-02-01 14:32:29.711565",False,NULL,NULL,NULL,False
"S17d5ff1-f6df-4807-a085-091b6583baba","A-fd34892e-65c8-4420-bb78-f1834cde2be4","C-CHJB-CMLYSRCY85",NULL,"2026-02-01 15:20:39.309263","2026-02-01 15:20:39.309269",False,NULL,NULL,NULL,False
"S5bab865-2da8-4afb-acc4-18ffeb62ddf4","A-ff360b42-5b1e-4e0f-8fb8-afe739ec5031","C-CHJB-VGNSO8N9JV",NULL,"2026-02-01 15:42:35.028765","2026-02-01 15:42:35.028769",False,NULL,NULL,NULL,False
"Sbf753aa-b050-4334-b5e0-1624e20b6837","A-565bfefb-b2fc-426d-bddc-3663249946bb","C-CHJB-U7MCDOBVVK",NULL,"2026-02-01 16:00:55.610315","2026-02-01 16:00:55.610319",False,NULL,NULL,NULL,False
"Sd86473f-f9ce-4c78-977f-d4755bb032c3","A-565bfefb-b2fc-426d-bddc-3663249946bb","C-CHJB-QWWVBSXRO3",NULL,"2026-02-01 16:01:53.104727","2026-02-01 16:01:53.104731",False,NULL,NULL,NULL,False
"Sf47b75d-2de8-498e-8a71-3a674de441e4","A-0c158ac4-4790-41fb-8cef-d1a374a844d4","C-CHJB-FNTVNTCRW6",NULL,"2026-02-01 16:40:20.438418","2026-02-01 16:40:20.438423",False,NULL,NULL,NULL,False
"S8cc971c-1826-4f2a-901d-d04d294dd8b2","A-140768bb-482c-4c3f-ba8f-3b26d3e84cc9","C-CHJB-QWWVBSXRO3",NULL,"2026-02-01 19:37:26.044188","2026-02-01 19:37:26.044192",False,NULL,NULL,NULL,False
"Se354adc-d008-46e0-bdde-627d2d8345d2","A-9e1220f6-0161-41be-a5af-2231ec9e1898","C-CHJB-I5P9AL8243",NULL,"2026-02-01 22:40:49.953835","2026-02-01 22:40:49.953838",False,NULL,NULL,NULL,False
"Sdc2a149-d819-4500-a3bc-a6362ec33842","A-9e1220f6-0161-41be-a5af-2231ec9e1898","C-CHJB-6IP78SP3BG","연남동 버터남 가게 위치 안내","2026-02-01 22:41:16.234","2026-02-01 22:41:46.263057",False,NULL,NULL,NULL,False
"Sfcb80bd-b908-4470-bc44-c6f7fde79f37","A-f22f3516-7fca-4219-9097-dd9476809d74","C-CHJB-LS1ORXE8ES",NULL,"2026-02-02 00:43:04.079977","2026-02-02 00:43:04.07998",False,NULL,NULL,NULL,False
"S9d6dddc-96ea-4358-a2e9-b008d9760abf","A-f22f3516-7fca-4219-9097-dd9476809d74","C-CHJB-FNTVNTCRW6","밀밭 베이커리 위치 안내","2026-02-02 00:43:13.389126","2026-02-02 00:43:22.077759",False,NULL,NULL,NULL,False
"S857497b-b1ed-4c21-bcb2-af2808793deb","A-f22f3516-7fca-4219-9097-dd9476809d74","C-CHJB-CMLYSRCY85","쌀친자 가게 위치 문의","2026-02-02 00:44:34.281837","2026-02-02 00:44:41.95703",False,NULL,NULL,NULL,False
"S4398af0-5b9d-43a0-b0fc-a90738718e71","A-f22f3516-7fca-4219-9097-dd9476809d74","C-CHJB-2E64X76EXC","이바컵 3호 가게 위치 안내","2026-02-02 00:45:05.150128","2026-02-02 00:45:13.780645",False,NULL,NULL,NULL,False
"S584cfe3-b36c-4f57-a700-563716ea9d6c","A-f22f3516-7fca-4219-9097-dd9476809d74","C-CHJB-8XT1WWIU0M","가게 운영 관련 질문","2026-02-02 00:45:56.519082","2026-02-02 00:46:01.72579",False,NULL,NULL,NULL,False
"Scdcad84-668e-41d6-9c0e-91960c1fdc0d","A-bad1c442-20ec-46af-8169-32691508429d","C-CHJB-2USPX2HKZU","홍대 터줏대감 위치 문의","2026-02-02 01:18:01.154174","2026-02-02 01:18:16.961654",False,NULL,NULL,NULL,False
"Sfd63e37-b1ee-42ca-897a-34ddbefd9de1","A-bec13899-72a5-4a11-80d9-778381d79094","C-CHJB-26H9PNIJ2I","두쫀쿠에 대한 정보 문의","2026-02-02 01:19:03.195082","2026-02-02 01:19:12.052024",False,NULL,NULL,NULL,False
"S7880e47-9f7a-495f-bffa-6e16fa6dd1a3","A-5370ec29-afc7-4392-8159-3c4539f036e7","C-CHJB-73W26R8ZCN",NULL,"2026-02-02 01:55:34.219055","2026-02-02 01:55:34.219059",False,NULL,NULL,NULL,False
"Sf49f431-8cde-4ac3-87d9-dddbedb998d6","A-c2a2d608-a33b-4803-9a8e-48ef43bbe378","C-CHJB-QD7VRS73WU","광장시장 갈릭 여신과의 인사","2026-02-02 02:01:58.071726","2026-02-02 02:02:36.287829",False,NULL,NULL,NULL,False
"S659df56-3e25-467f-b07d-14e4413ddb1c","A-c2a2d608-a33b-4803-9a8e-48ef43bbe378","C-CHJB-W37DEY3H71",NULL,"2026-02-02 02:07:21.069085","2026-02-02 02:07:21.069089",False,NULL,NULL,NULL,False
"S68fec3b-212c-4b9b-987f-64c1faca4fb8","A-69af3f88-2f01-4854-bd3a-66345a32bb7e","C-CHJB-PKB9RGZAVT",NULL,"2026-02-02 02:13:44.969931","2026-02-02 02:13:44.969934",False,NULL,NULL,NULL,False
"S1e5a00c-aded-45df-8d65-601e91b7c609","A-c34567c3-56d1-466d-8f97-bdb7d661a2e5","C-CHJB-OTFOOPD7EF",NULL,"2026-02-02 02:17:19.780798","2026-02-02 02:17:19.780802",False,NULL,NULL,NULL,False
"S807e703-d373-45dd-9654-98903afb1d29","A-34018541-8ef1-4c99-a48e-98b23c755231","C-CHJB-PKB9RGZAVT","제주도 유명한 빵 종류 소개","2026-02-02 02:17:55.662857","2026-02-02 02:18:04.024117",False,NULL,NULL,NULL,False
"Se7239b9-0dff-4ca6-a56b-71c3c209b3da","A-4508c9e1-b49d-444e-bf69-24cd32bf80f9","C-CHJB-Y6TG3VWP70",NULL,"2026-02-02 02:29:16.342578","2026-02-02 02:29:16.342581",False,NULL,NULL,NULL,False
"S9ef4eec-748b-4486-94c3-501be4e3a4a1","A-e07ab3c4-af56-4248-ad3a-77b811f3bb23","C-CHJB-S62ZEU9PW2","빵 종류와 메뉴 소개","2026-02-02 02:38:02.454516","2026-02-02 02:39:51.666749",False,NULL,NULL,NULL,False
"S7afe088-97b8-484f-9a70-19c1cbc4f9b9","A-38c61a36-d182-4b70-9b37-8f1eab614dd4","C-CHJB-OTFOOPD7EF",NULL,"2026-02-02 02:52:15.616668","2026-02-02 02:52:15.616672",False,NULL,NULL,NULL,False
"Sb9b52a3-e2c1-4b7e-86ce-a4b224a06be4","A-61269146-4788-41e7-bbb9-95051251196a","C-CHJB-6U0G40OYT9",NULL,"2026-02-02 03:07:29.813881","2026-02-02 03:07:29.813884",False,NULL,NULL,NULL,False
"S1d8720a-c926-447f-af7d-d84bcd99a878","A-61269146-4788-41e7-bbb9-95051251196a","C-CHJB-26H9PNIJ2I",NULL,"2026-02-02 03:07:47.350718","2026-02-02 03:07:47.350722",False,NULL,NULL,NULL,False
"S0419a72-acc2-4a01-bb36-93c9fc648459","A-61269146-4788-41e7-bbb9-95051251196a","C-CHJB-73W26R8ZCN","전주 맘스브레드 인기 빵 종류","2026-02-02 03:08:10.246536","2026-02-02 03:08:21.728579",False,NULL,NULL,NULL,False
"S45701a9-2576-4b02-b88b-dea628e9ec2f","A-68e925fb-e046-42a9-a413-43aeef023b62","C-CHJB-1PIDMNS9HE",NULL,"2026-02-02 03:17:22.782812","2026-02-02 03:17:22.782815",False,NULL,NULL,NULL,False
"Sd9718b0-4743-48d8-9e81-955b5d7ca0db","A-9f5f59e6-b864-46ba-a277-663d4661dc95","C-CHJB-OTFOOPD7EF","요즘 빵값 상승에 대한 의견","2026-02-02 03:45:52.25682","2026-02-02 03:46:20.653911",False,NULL,NULL,NULL,False
"Sea39455-0d41-47c7-92ba-e1b7b744cf97","A-db942e1e-6fbb-4fb3-b325-6561d2bf0fa5","C-CHJB-QD7VRS73WU",NULL,"2026-02-02 03:52:36.169977","2026-02-02 03:52:36.169981",False,NULL,NULL,NULL,False
"Scff08cb-8993-4a14-a190-8b12691fad2c","A-0a5ade99-d0ef-449a-bffa-6fa8e0e21311","C-CHJB-ZRX43LQHJR","유저 칭찬과 제빵사 이미지 관련 대화","2026-02-02 03:57:31.144711","2026-02-02 03:58:32.954079",False,NULL,NULL,NULL,False
"Scbdda03-c62e-4796-930d-e5c23b79b84e","A-73b3871d-610f-48f4-9890-a73fc25eac20","C-CHJB-6Y9RDDXSXL",NULL,"2026-02-02 04:16:54.258495","2026-02-02 04:16:54.258498",False,NULL,NULL,NULL,False
"S74a4c29-8aa9-429d-966d-bd14ce9d467c","A-73b3871d-610f-48f4-9890-a73fc25eac20","C-CHJB-6Y9RDDXSXL","빵돌이와의 인사와 홈베이킹 대화","2026-02-02 04:17:01.525057","2026-02-02 04:17:07.70045",False,NULL,NULL,NULL,False
"S76a4e8c-b2fc-4f27-8599-19a94d6fb3fd","A-0e24e501-8ab3-4aa6-98a1-4d8e90a8f7a8","C-CHJB-39DO1OV2F2",NULL,"2026-02-02 04:18:43.598592","2026-02-02 04:18:43.598596",False,NULL,NULL,NULL,False
"S4e62b51-0d0d-4819-b2b9-ad40f1bade29","A-9a32c4b1-338c-448d-90c9-e701f7e358f5","C-CHJB-6Y9RDDXSXL",NULL,"2026-02-02 04:21:22.626997","2026-02-02 04:21:22.627001",False,NULL,NULL,NULL,False
"S7851175-368a-4cb4-a4b7-95aa2af9a6cb","A-9a32c4b1-338c-448d-90c9-e701f7e358f5","C-CHJB-26H9PNIJ2I",NULL,"2026-02-02 04:21:39.963929","2026-02-02 04:21:39.963933",False,NULL,NULL,NULL,False
"Sc3e300f-4460-4ce9-8b83-23e2881c6b5c","A-73d57c32-ab2a-4f4d-a573-101e23e1aa07","C-CHJB-2USPX2HKZU",NULL,"2026-02-02 04:30:20.107273","2026-02-02 04:30:20.107277",False,NULL,NULL,NULL,False
"S41b5a8b-8a68-477c-b597-6004925b59b9","A-73d57c32-ab2a-4f4d-a573-101e23e1aa07","C-CHJB-H0JWSWOX8K","빵 만드는 레시피와 순서 안내","2026-02-02 04:30:29.87547","2026-02-02 04:30:46.293994",False,NULL,NULL,NULL,False
"S9cf81a4-04ed-4ebe-9832-daaf1aa98644","A-56a6af12-56dd-49c0-8e42-b7d0de2ff95f","C-CHJB-CXFYVL1NYJ",NULL,"2026-02-02 04:38:22.001738","2026-02-02 04:38:22.001743",False,NULL,NULL,NULL,False
"Sf4e35ac-43a7-4a7b-847c-f03f689a8055","A-3fc5fc3e-56c9-4b47-98cb-215171a61b47","C-CHJB-U7MCDOBVVK","지방에서의 거리 문제 해결하기","2026-02-02 04:39:56.544176","2026-02-02 04:40:36.988565",False,NULL,NULL,NULL,False
"Sa9fcc83-efda-4897-bb22-aa66bdcac684","A-56a6af12-56dd-49c0-8e42-b7d0de2ff95f","C-CHJB-SJQCA46QSZ","빵집 추천 요청","2026-02-02 04:41:44.631232","2026-02-02 04:41:55.439561",False,NULL,NULL,NULL,False
"Sc2e109a-d67c-4e48-a9c2-e3c9dd266e42","A-bad7000d-ed34-4d44-a5d6-3b8d9c7077e0","C-CHJB-VGNSO8N9JV",NULL,"2026-02-02 04:47:35.622097","2026-02-02 04:47:35.622101",False,NULL,NULL,NULL,False
"Sfb66281-1009-48a4-9ef3-8ee5de5eee1e","A-3d544684-c741-479a-a4b1-7e131af76ae3","C-CHJB-1PIDMNS9HE",NULL,"2026-02-02 04:49:16.227414","2026-02-02 04:49:16.227418",False,NULL,NULL,NULL,False
"S8bac23d-70db-4082-b4ef-c5e6d8eb8920","A-27e662dc-25f0-4068-85ec-f475da1f8a0a","C-CHJB-G7NVZWORSS",NULL,"2026-02-02 05:25:17.593641","2026-02-02 05:25:17.593645",False,NULL,NULL,NULL,False
"S956c4ec-5f00-44d3-ba98-478d83da1d45","A-4ca1d193-b5b4-4a08-87cc-9dac68830d35","C-CHJB-8CR122RDKV","디저트 잘 만드는 방법과 팁","2026-02-02 05:26:47.510801","2026-02-02 05:26:58.733517",False,NULL,NULL,NULL,False
"S38573cc-d8fe-43f5-8b1a-4107f4dec0bf","A-4ca1d193-b5b4-4a08-87cc-9dac68830d35","C-CHJB-ZRX43LQHJR","가장 잘 만드는 이탈리아 디저트 소개","2026-02-02 05:27:13.497653","2026-02-02 05:27:22.328711",False,NULL,NULL,NULL,False
"S3b773de-28bc-4de2-9deb-ed79ca16278d","A-a9664c7d-705d-4a5d-874e-8985e02bba8b","C-CHJB-I5P9AL8243",NULL,"2026-02-02 05:36:28.871289","2026-02-02 05:36:28.871293",False,NULL,NULL,NULL,False
"S6c257a0-c68a-4bac-aade-fc27a05c651e","A-9d0b3c54-6bb5-4c81-a211-dbc43d88a8fc","C-CHJB-C7EXVK2RFJ",NULL,"2026-02-02 05:37:55.395626","2026-02-02 05:37:55.39563",False,NULL,NULL,NULL,False
"S4db7ecd-b187-4ed2-ac3b-ec378a70d1ab","A-9d0b3c54-6bb5-4c81-a211-dbc43d88a8fc","C-CHJB-R0U5HEGVEI",NULL,"2026-02-02 05:39:01.891813","2026-02-02 05:39:01.891817",False,NULL,NULL,NULL,False
"S7901d27-ee62-4a86-9641-2a556a2c525c","A-ec22da92-5c73-4cb6-891f-dd1262241f24","C-CHJB-CXFYVL1NYJ","괴짜 파티시에와의 인사 및 대화 시작","2026-02-02 06:05:22.453148","2026-02-02 06:06:11.250537",False,NULL,NULL,NULL,False
"S8a75cce-a6b5-49a8-85d5-56f1bd60b1c7","A-f19e8d68-35c4-4be7-8b55-73ea2c1690ee","C-CHJB-VGNSO8N9JV","챗봇의 지식 범위와 기능","2026-02-02 06:05:42.193091","2026-02-02 06:06:02.631749",False,NULL,NULL,NULL,False
"Sb73bb53-0c44-454d-ac51-98b2b19c8111","A-f19e8d68-35c4-4be7-8b55-73ea2c1690ee","C-CHJB-8CR122RDKV",NULL,"2026-02-02 06:06:17.546392","2026-02-02 06:06:17.546395",False,NULL,NULL,NULL,False
"S89002e2-4b97-441d-a19b-4311b611d000","A-c239b3bd-768b-4138-974c-f0b92bf64a9a","C-CHJB-ML0Z1N7MBZ","타르트 원탑 정보와 서비스 안내","2026-02-02 06:06:24.831279","2026-02-02 06:06:36.103789",False,NULL,NULL,NULL,False
"S284d977-a9f2-40fb-8565-b07ae438b4eb","A-1ca742c5-ffb8-47ad-baee-c5996d3566a9","C-CHJB-QD7VRS73WU",NULL,"2026-02-02 06:20:53.75649","2026-02-02 06:20:53.756493",False,NULL,NULL,NULL,False
"S4ff6d36-2bb6-4910-b8e4-bb07e486839f","A-b4f751b7-647a-4061-af2b-34c36c83bf69","C-CHJB-6U0G40OYT9",NULL,"2026-02-02 06:38:45.260109","2026-02-02 06:38:45.260113",False,NULL,NULL,NULL,False
"S3d69a0e-51cd-43d1-bea0-81c86d06d0ed","A-b4f751b7-647a-4061-af2b-34c36c83bf69","C-CHJB-FHA7WXK79V","집에서 간단한 빵 만드는 방법 안내","2026-02-02 06:39:01.713879","2026-02-02 06:39:41.571145",False,NULL,NULL,NULL,False
"Sd8abea2-ec42-4cf1-892e-c7d976159200","A-d5133b44-a733-4491-871b-44bbc72f10a3","C-CHJB-OTFOOPD7EF",NULL,"2026-02-02 06:41:58.128696","2026-02-02 06:41:58.1287",False,NULL,NULL,NULL,False
"S0bbaf0e-6bb3-4903-8aff-b18a048be3b4","A-ee2ad601-f757-49ab-8d6a-1d77331a9501","C-CHJB-DBMMF4P7XM","고덕한 제빵사에게 질문하기","2026-02-02 07:11:19.156854","2026-02-02 07:11:53.80281",False,NULL,NULL,NULL,False
"S6b6d76b-de7f-4e17-ae8b-2cbc451a8b61","A-d1389259-3b1b-4622-9593-79686c293f58","C-CHJB-I1D4H0WMOS",NULL,"2026-02-02 07:29:02.346436","2026-02-02 07:29:02.346439",False,NULL,NULL,NULL,False
"Sc6366b5-536e-4f33-9dbf-30506d464773","A-d1389259-3b1b-4622-9593-79686c293f58","C-CHJB-2USPX2HKZU","홍대 터줏대감 응원 메시지","2026-02-02 07:30:14.569215","2026-02-02 07:30:24.109427",False,NULL,NULL,NULL,False
"S568c716-36f7-4961-9b62-ace129423619","A-63fc5c60-e9e0-400a-b1a9-afa7ec35724f","C-CHJB-ML0Z1N7MBZ",NULL,"2026-02-02 07:52:59.057226","2026-02-02 07:52:59.05723",False,NULL,NULL,NULL,False
"S968ae03-ed9a-4348-96a1-87d44129753b","A-27d9619a-2f34-4dd2-9571-d01bbe4002e0","C-CHJB-Y6TG3VWP70","하트 제조기와의 인사 세션","2026-02-02 07:55:30.97838","2026-02-02 07:55:59.318666",False,NULL,NULL,NULL,False
"S09f25fa-b3af-4ae2-a179-7bcc37780ba5","A-27d9619a-2f34-4dd2-9571-d01bbe4002e0","C-CHJB-U7MCDOBVVK","안녕하세요 이바컵 2호와의 대화","2026-02-02 07:57:33.627213","2026-02-02 07:57:46.623959",False,NULL,NULL,NULL,False
"Sc9fb8c5-66fb-4cf7-a732-49d279bca144","A-92ca3fa1-042e-4db9-a29b-7322c2c58055","C-CHJB-86IPT4IBM4",NULL,"2026-02-02 07:59:51.124598","2026-02-02 07:59:51.124602",False,NULL,NULL,NULL,False
"S53a31da-73f1-4d07-ba8b-79c94445b4d0","A-f2221125-65e3-4570-aa9c-f2cda4058cd5","C-CHJB-5FC3NJ20GQ","빵집 이름 아이디어 제안","2026-02-02 08:20:02.108124","2026-02-02 08:20:15.177991",False,NULL,NULL,NULL,False
"Se1adec4-b2f1-4332-b56e-73f7b6721796","A-f2221125-65e3-4570-aa9c-f2cda4058cd5","C-CHJB-26H9PNIJ2I","빵집 이름 관련 질문","2026-02-02 08:20:48.432433","2026-02-02 08:20:51.985339",False,NULL,NULL,NULL,False
"S8d4b72a-62e1-4e17-8627-e90eab348923","A-f2221125-65e3-4570-aa9c-f2cda4058cd5","C-CHJB-FNTVNTCRW6","빵집 이름 아이디어 제안","2026-02-02 08:21:08.028217","2026-02-02 08:21:12.615236",False,NULL,NULL,NULL,False
"Sdce8364-af74-4a3b-a450-55cb4d4cac0f","A-f2221125-65e3-4570-aa9c-f2cda4058cd5","C-CHJB-AIS9VUL7Z8","빵집 이름 아이디어와 추천","2026-02-02 08:21:19.076476","2026-02-02 08:21:22.912475",False,NULL,NULL,NULL,False
"Scc7f68d-1fce-4102-a662-5eea4ef65481","A-f2221125-65e3-4570-aa9c-f2cda4058cd5","C-CHJB-PKX4SZVGZD","가문의 찐빵 빵집 이름 문의","2026-02-02 08:21:28.275166","2026-02-02 08:21:33.394051",False,NULL,NULL,NULL,False
"S9f1cdb3-08df-42b5-b342-df94766c4f35","A-f2221125-65e3-4570-aa9c-f2cda4058cd5","C-CHJB-Z4IIJTD295","빵집 이름 추천 요청","2026-02-02 08:21:36.24203","2026-02-02 08:21:39.521185",False,NULL,NULL,NULL,False
"Sf2dea1d-bf15-44fd-a481-176e45d46cf4","A-f2221125-65e3-4570-aa9c-f2cda4058cd5","C-CHJB-DBMMF4P7XM","빵집 이름 아이디어 제안","2026-02-02 08:21:44.6328","2026-02-02 08:21:47.602043",False,NULL,NULL,NULL,False
"Sc66d443-1418-4f92-8962-330f3229828d","A-f2221125-65e3-4570-aa9c-f2cda4058cd5","C-CHJB-QD7VRS73WU","광장시장 갈릭 여신 빵집 이름 아이디어","2026-02-02 08:21:57.252116","2026-02-02 08:22:01.035423",False,NULL,NULL,NULL,False
"S130594c-1acc-44df-a056-9d03c629974c","A-f2221125-65e3-4570-aa9c-f2cda4058cd5","C-CHJB-CXFYVL1NYJ","괴짜 파티시에의 빵집 이름 아이디어","2026-02-02 08:22:05.382032","2026-02-02 08:22:08.644604",False,NULL,NULL,NULL,False
